;Results Mainters;;;;;;;;;;;;
;;;;;;;;;;;;;
;Facultative CAM in Talinum Ev: Dominik;;;;;;Maleckova Talinum Ev: Dominik;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;0,7;0,7;0,3;;Relevance;;0,3;0,3;0,7;;
;Coherence;;0,7;0,7;0,7;;Coherence;;0,7;0,7;1;;
;Factual Consistency;;0,3;1;0,3;;Factual Consistency;;0,3;0,7;1;;
;Fluency;;0,7;1;0,7;;Fluency;;0,7;0,7;0,7;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;RU_ChlamyHeatstress Ev: Venni;;;;;;LPA2_Complexome Ev: Venni;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;1;1;1;;Relevance;;0,7;1;0,3;;
;Coherence;;1;1;0,7;;Coherence;;1;0,7;0,7;;
;Factual Consistency;;1;1;1;;Factual Consistency;;0,7;0,7;0,7;;
;Fluency;;1;1;1;;Fluency;;0,7;1;1;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;SFB175AraCore Ev: Venni;;;;;;Phenotype wheat IPK Ev: Daniel;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;1;1;0,7;;Relevance;;0,7;0,7;0,7;;
;Coherence;;0,7;0,7;0,7;;Coherence;;1;1;1;;
;Factual Consistency;;1;0,7;0,7;;Factual Consistency;;1;1;0,7;;
;Fluency;;1;1;0,3;;Fluency;;1;1;1;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Balancing Nutrient Remobilization and Photosynthesis Ev: Cecile;;;;;;Physcomitrium patens Ev: Saskia;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;1;1;0,7;;Relevance;;0,7;0,7;1;;
;Coherence;;1;1;1;;Coherence;;0,7;0,7;1;;
;Factual Consistency;;1;0,3;1;;Factual Consistency;;0,7;0,7;1;;
;Fluency;;1;0,7;1;;Fluency;;0,7;0,7;0,7;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Results secondary evaluators;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Facultative CAM in Talinum Ev: Pauline;;;;;;Maleckova Talinum Ev: Caro;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;0,7;0,7;0,7;;Relevance;;0,7;0,7;1;;
;Coherence;;1;0,7;0,7;;Coherence;;0,7;0,3;0,7;;
;Factual Consistency;;0,7;1;1;;Factual Consistency;;1;0,7;1;;
;Fluency;;0,7;1;1;;Fluency;;1;1;1;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;RU_ChlamyHeatstress Ev: Chris;;;;;;LPA2_Complexome Ev: Self;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;0,7;0,7;1;;Relevance;;1;1;1;;
;Coherence;;1;1;1;;Coherence;;0,7;0,7;0,7;;
;Factual Consistency;;1;1;1;;Factual Consistency;;0,7;0,7;1;;
;Fluency;;1;0,7;1;;Fluency;;0,7;0,7;0,7;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;SFB175AraCore Ev: Patrick;;;;;;Phenotype wheat IPK Ev: Annika;;;;;;
;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;0,3;0,7;0,7;;Relevance;;0,7;1;0,7;;
;Coherence;;0,3;0,7;0,7;;Coherence;;0,3;0,7;0,7;;
;Factual Consistency;;0,3;0,3;0,7;;Factual Consistency;;0,3;1;0,3;;
;Fluency;;0,3;0,7;0,3;;Fluency;;1;0,7;1;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Balancing Nutrient Remobilization and Photosynthesis Ev: Christel;;;;;;Physcomitrium patens Ev: Lukas;;;;;;
